name,video_url,srt_url
MIT5_07SCF13_JoAnne_Intro,https://archive.org/download/MIT5.07SCF13/MIT5_07SCF13_JoAnne_Intro_300k.mp4,https://ocw.mit.edu/courses/chemistry/5-07sc-biological-chemistry-i-fall-2013/lexicon/introduction-to-the-lexicon/VVOazB6_D3Q.srt
MIT5_07SCF13_JoAnne_Redox,https://archive.org/download/MIT5.07SCF13/MIT5_07SCF13_JoAnne_Redox_300k.mp4,https://ocw.mit.edu/courses/chemistry/5-07sc-biological-chemistry-i-fall-2013/lexicon/redox-cofactors/ojvz7pVVZ-o.srt
MIT5_07SCF13_JoAnne_PLP,https://archive.org/download/MIT5.07SCF13/MIT5_07SCF13_JoAnne_PLP_300k.mp4,https://ocw.mit.edu/courses/chemistry/5-07sc-biological-chemistry-i-fall-2013/lexicon/vitamin-b6-plp/922Oig1HWG8.srt
MIT5_07SCF13_JoAnne_B12Cofactors,https://archive.org/download/MIT5.07SCF13/MIT5_07SCF13_JoAnne_B12Cofactors_300k.mp4,https://ocw.mit.edu/courses/chemistry/5-07sc-biological-chemistry-i-fall-2013/lexicon/cofactors-formed-from-vitamin-b12/56vQ0S2eAjw.srt
